交易类型,交易金额,交易工作日,交易渠道
现金宝普取,1000000,20160325,企业web版
现金宝普取,20000,20160328,企业web版
现金宝普取,45128309.65,20160328,企业web版
现金宝普取,100038681.54,20160328,企业web版
现金宝普取,59464.52,20160328,企业web版
现金宝普取,28631.06,20160328,企业web版
现金宝普取,25092.36,20160328,企业web版
现金宝普取,17189.79,20160328,企业web版
现金宝普取,400000,20160328,企业web版
现金宝普取,103160739.73,20160328,企业web版
现金宝快取,110000,20160329,企业web版
现金宝普取,200000,20160329,企业web版
现金宝普取,264759.67,20160330,企业web版
现金宝普取,9058206.44,20160330,企业web版
现金宝普取,30000,20160330,企业web版
现金宝普取,100000,20160330,企业web版
现金宝普取,10000000,20160330,企业web版
现金宝快取,2500000,20160331,企业web版
现金宝普取,1739372,20160401,企业web版
现金宝普取,300000,20160401,企业web版
现金宝普取,250000,20160405,企业web版
现金宝普取,500000,20160405,企业web版
现金宝普取,50000,20160406,企业web版
现金宝普取,2,20160407,企业web版
现金宝普取,22045174.74,20160407,企业web版
现金宝普取,1000000,20160407,企业web版
现金宝普取,10000,20160407,企业web版
现金宝普取,53000000,20160407,企业web版
基金申购,10000,20160311,企业web版
现金宝普取,0.01,20160311,企业web版
现金宝普取,0.01,20160311,企业web版
现金宝普取,10.11,20160311,企业web版
现金宝普取,5024125.98,20160311,企业web版
现金宝普取,5.48,20160314,企业web版
现金宝普取,1.41,20160314,企业web版
高端赎回,1000000,20160315,企业web版
现金宝普取,2250695.14,20160315,企业web版
现金宝普取,3000000,20160315,企业web版
现金宝普取,10.4,20160315,企业web版
现金宝普取,200000,20160317,企业web版
现金宝普取,500000,20160317,企业web版
现金宝快取,82923.5,20160317,企业web版
现金宝快取,900000,20160318,企业web版
现金宝普取,300000000,20160318,企业web版
现金宝普取,5000000,20160321,企业web版
基金申购,70000,20160321,企业web版
现金宝普取,10000000,20160321,企业web版
现金宝普取,70000,20160321,企业web版
现金宝普取,30000,20160321,企业web版
现金宝快取,1000000,20160322,企业web版
现金宝普取,200000,20160322,企业web版
现金宝普取,10000000,20160322,企业web版
高端认购,5000000,20160322,企业web版
高端认购,30000000,20160322,企业web版
现金宝普取,400000000,20160324,企业web版
现金宝快取,200000,20160324,企业web版
现金宝普取,5000000,20160324,企业web版
现金宝普取,400000,20160325,企业web版
现金宝普取,50000000,20160325,企业web版
现金宝普取,401822651.62,20160328,企业web版
现金宝普取,378738498.38,20160328,企业web版
现金宝快取,2400,20160328,企业web版
现金宝普取,60000,20160328,企业web版
现金宝普取,4000000,20160328,企业web版
现金宝普取,200000,20160328,企业web版
现金宝普取,50000,20160329,企业web版
现金宝普取,10.04,20160329,企业web版
现金宝普取,1200000,20160329,企业web版
现金宝快取,88258.37,20160329,企业web版
高端认购,10000000,20160329,企业web版
现金宝普取,604615699.82,20160329,企业web版
现金宝快取,460329.95,20160329,企业web版
现金宝普取,5000000,20160329,企业web版
现金宝普取,5000000,20160330,企业web版
现金宝普取,3000000,20160330,企业web版
现金宝快取,4000000,20160330,企业web版
现金宝普取,150000000,20160314,企业web版
现金宝普取,30000000,20160314,企业web版
现金宝普取,391310900.42,20160315,企业web版
现金宝普取,12046044.42,20160315,企业web版
现金宝普取,12000,20160315,企业web版
现金宝普取,2000000,20160315,企业web版
现金宝普取,365000,20160316,企业web版
现金宝普取,10.58,20160317,企业web版
现金宝普取,101500000,20160318,企业web版
现金宝快取,1000000,20160318,企业web版
高端赎回,3000000,20160318,企业web版
现金宝普取,500152.43,20160321,企业web版
现金宝普取,50000,20160324,企业web版
现金宝快取,110000,20160324,企业web版
现金宝普取,50000000,20160324,企业web版
高端认购,50000000,20160325,企业web版
现金宝普取,150000000,20160325,企业web版
现金宝快取,50000,20160328,企业web版
高端认购,10000000,20160328,企业web版
现金宝快取,20000,20160328,企业web版
现金宝普取,100000000,20160328,企业web版
高端认购,15000000,20160329,企业web版
现金宝普取,35225846.22,20160329,企业web版
现金宝快取,6000000,20160329,企业web版
现金宝普取,400000,20160329,企业web版
高端认购,100000000,20160329,企业web版
现金宝普取,2663660.24,20160330,企业web版
现金宝普取,1000000,20160330,企业web版
现金宝普取,14844736.84,20160330,企业web版
现金宝普取,10,20160331,企业web版
现金宝普取,100000,20160331,企业web版
现金宝普取,420000000,20160405,企业web版
现金宝普取,10.07,20160405,企业web版
现金宝普取,2071713.44,20160405,企业web版
现金宝普取,2000000,20160405,企业web版
现金宝快取,100000,20160405,企业web版
现金宝普取,13028052.46,20160405,企业web版
现金宝普取,53000000,20160405,企业web版
现金宝普取,24000000,20160405,企业web版
现金宝普取,10.05,20160406,企业web版
现金宝普取,500000,20160406,企业web版
现金宝普取,3000000,20160406,企业web版
现金宝普取,10000000,20160406,企业web版
现金宝普取,13000000,20160406,企业web版
现金宝普取,2000,20160406,企业web版
现金宝普取,800000,20160406,企业web版
现金宝普取,14844736.84,20160310,企业web版
现金宝普取,100000,20160310,企业web版
现金宝普取,15000000,20160311,企业web版
现金宝普取,3000000,20160314,企业web版
现金宝普取,15000000,20160314,企业web版
现金宝普取,400000,20160316,企业web版
现金宝普取,10005000,20160317,企业web版
现金宝普取,1000000,20160317,企业web版
现金宝普取,300000000,20160317,企业web版
现金宝普取,10.47,20160318,企业web版
现金宝普取,30000000,20160321,企业web版
现金宝普取,2000000,20160321,企业web版
现金宝普取,10.44,20160322,企业web版
现金宝普取,10107010.07,20160322,企业web版
高端赎回,3000000,20160322,企业web版
高端认购,100000000,20160323,企业web版
现金宝普取,3000000,20160323,企业web版
现金宝普取,1000000,20160323,企业web版
现金宝普取,20309150.68,20160323,企业web版
现金宝普取,703075995.12,20160323,企业web版
现金宝快取,1000000,20160323,企业web版
现金宝普取,36518346.79,20160324,企业web版
现金宝快取,140000,20160328,企业web版
现金宝普取,21069439.17,20160328,企业web版
现金宝普取,15570463.76,20160328,企业web版
现金宝快取,130000,20160328,企业web版
现金宝普取,10.1,20160328,企业web版
现金宝普取,10359013.7,20160328,企业web版
高端认购,30000000,20160328,企业web版
高端赎回,3000000,20160329,企业web版
高端赎回,15000000,20160329,企业web版
现金宝普取,10000,20160330,企业web版
现金宝普取,50000000,20160331,企业web版
现金宝普取,50000000,20160331,企业web版
现金宝普取,10.1,20160401,企业web版
现金宝普取,14955105,20160401,企业web版
现金宝快取,20000000,20160401,企业web版
现金宝普取,20000000,20160401,企业web版
现金宝普取,28000,20160406,企业web版
现金宝普取,20000,20160406,企业web版
现金宝快取,10,20160406,企业web版
现金宝普取,90000,20160406,企业web版
现金宝普取,100000,20160406,企业web版
现金宝普取,10000,20160407,企业web版
现金宝快取,20000000,20160407,企业web版
现金宝普取,13028706.2,20160310,企业web版
现金宝普取,1200000,20160310,企业web版
现金宝普取,15000000,20160310,企业web版
现金宝普取,500000000,20160315,企业web版
现金宝快取,10000000,20160316,企业web版
现金宝快取,10000000,20160316,企业web版
现金宝快取,4000000,20160316,企业web版
现金宝快取,10000000,20160316,企业web版
现金宝普取,6071.53,20160316,企业web版
现金宝普取,15000000,20160316,企业web版
现金宝普取,3000000,20160316,企业web版
现金宝普取,14107425.08,20160318,企业web版
现金宝普取,33000000,20160321,企业web版
质押还款,604723.2,20160321,企业web版
高端认购,1000000,20160322,企业web版
现金宝快取,3000000,20160322,企业web版
高端认购,5000000,20160323,企业web版
现金宝快取,10000,20160323,企业web版
现金宝普取,500000000,20160324,企业web版
现金宝快取,3000000,20160325,企业web版
现金宝普取,260000000,20160325,企业web版
现金宝普取,113951374.63,20160325,企业web版
现金宝普取,50000,20160328,企业web版
现金宝普取,69521810.69,20160329,企业web版
现金宝普取,15000000,20160329,企业web版
现金宝快取,10000000,20160329,企业web版
现金宝普取,100000,20160329,企业web版
现金宝普取,337608,20160330,企业web版
现金宝普取,4500000,20160330,企业web版
现金宝普取,553088.15,20160331,企业web版
现金宝普取,103508.44,20160331,企业web版
现金宝普取,19106.31,20160401,企业web版
现金宝快取,100000,20160401,企业web版
现金宝普取,10000000,20160405,企业web版
现金宝普取,9000000,20160405,企业web版
现金宝普取,111056895.98,20160405,企业web版
现金宝普取,20000000,20160406,企业web版
现金宝快取,15152938.56,20160407,企业web版
现金宝普取,1512.98,20160407,企业web版
现金宝快取,2000000,20160311,企业web版
现金宝普取,500000000,20160311,企业web版
现金宝普取,34.98,20160314,企业web版
现金宝普取,0.93,20160314,企业web版
现金宝普取,4000000,20160315,企业web版
现金宝普取,100000000,20160316,企业web版
现金宝普取,3155263.16,20160317,企业web版
现金宝普取,14844736.84,20160317,企业web版
现金宝普取,73920453.56,20160318,企业web版
现金宝普取,150000,20160318,企业web版
现金宝普取,300000,20160318,企业web版
现金宝普取,50000000,20160318,企业web版
现金宝普取,100000000,20160318,企业web版
现金宝普取,200000,20160318,企业web版
现金宝普取,150000,20160321,企业web版
现金宝普取,500000,20160321,企业web版
现金宝快取,50000,20160321,企业web版
现金宝普取,200000000,20160322,企业web版
高端认购,10000000,20160322,企业web版
现金宝普取,10006493.62,20160323,企业web版
现金宝普取,500000,20160323,企业web版
现金宝普取,3000000,20160323,企业web版
基金申购,10000,20160323,企业web版
现金宝普取,70000000,20160324,企业web版
现金宝普取,9873443.04,20160324,企业web版
现金宝普取,10000,20160328,企业web版
现金宝普取,30051095.4,20160328,企业web版
现金宝普取,100,20160331,企业web版
现金宝普取,2795672.87,20160331,企业web版
现金宝普取,9000000,20160331,企业web版
现金宝普取,90000,20160401,企业web版
现金宝普取,200177025.89,20160405,企业web版
现金宝普取,100000,20160405,企业web版
现金宝普取,100000,20160405,企业web版
现金宝普取,5000000,20160405,企业web版
现金宝普取,4205.5,20160406,企业web版
现金宝快取,10000,20160406,企业web版
现金宝普取,20000000,20160407,企业web版
现金宝普取,100000,20160407,企业web版
现金宝普取,15000000,20160407,企业web版
现金宝快取,40000,20160408,企业web版
现金宝快取,30000,20160408,企业web版
现金宝快取,3000000,20160408,企业web版
现金宝普取,500,20160408,企业web版
现金宝快取,15008.53,20160408,企业web版
现金宝普取,250000000,20160311,企业web版
现金宝普取,300000,20160314,企业web版
现金宝普取,40000000,20160314,企业web版
现金宝普取,10071275.79,20160314,企业web版
现金宝普取,200000,20160314,企业web版
现金宝普取,90000,20160314,企业web版
现金宝普取,14.53,20160314,企业web版
现金宝普取,513274.4,20160315,企业web版
现金宝普取,50000000,20160315,企业web版
现金宝快取,28000,20160316,企业web版
现金宝普取,3000000,20160316,企业web版
现金宝普取,10000000,20160316,企业web版
现金宝普取,10000000,20160318,企业web版
现金宝普取,2509738.88,20160318,企业web版
现金宝普取,1200000,20160318,企业web版
现金宝普取,20000000,20160322,企业web版
高端认购,4000000,20160322,企业web版
高端认购,56000000,20160322,企业web版
基金申购,5000000,20160323,企业web版
现金宝普取,3000000,20160324,企业web版
现金宝快取,700000,20160328,企业web版
现金宝普取,336683436.41,20160328,企业web版
高端认购,5000000,20160328,企业web版
现金宝普取,10.07,20160330,企业web版
现金宝普取,100000,20160330,企业web版
现金宝快取,100000,20160331,企业web版
现金宝普取,10.37,20160331,企业web版
现金宝普取,100000,20160331,企业web版
现金宝普取,4000000,20160331,企业web版
现金宝普取,4007.74,20160405,企业web版
现金宝普取,100000,20160405,企业web版
现金宝快取,10000,20160405,企业web版
现金宝普取,12000,20160405,企业web版
现金宝普取,10000,20160406,企业web版
现金宝普取,10000000,20160406,企业web版
高端赎回,1964604.6,20160406,企业web版
现金宝快取,10000000,20160407,企业web版
现金宝普取,10.14,20160407,企业web版
现金宝普取,10145646.3,20160407,企业web版
现金宝普取,2000000,20160407,企业web版
现金宝普取,13000000,20160407,企业web版
现金宝普取,20000000,20160407,企业web版
现金宝普取,200000000,20160407,企业web版
现金宝普取,50000000,20160407,企业web版
现金宝普取,4000000,20160407,企业web版
现金宝快取,5000000,20160407,企业web版
现金宝普取,0.1,20160408,企业web版
现金宝普取,10.15,20160411,企业web版
现金宝普取,3004447.32,20160413,企业web版
现金宝快取,0.01,20160413,企业web版
现金宝普取,50000,20160413,企业web版
现金宝快取,50000,20160413,企业web版
现金宝普取,10025144.98,20160413,企业web版
现金宝普取,167829.14,20160413,企业web版
高端认购,100000000,20160415,企业web版
高端申购,10000000,20160418,企业web版
高端赎回,1320867.46,20160418,企业web版
现金宝普取,3000000,20160419,企业web版
现金宝快取,300000,20160420,企业web版
现金宝快取,4000000,20160420,企业web版
现金宝普取,0.01,20160422,企业web版
现金宝快取,0.02,20160422,企业web版
基金赎回,2500000,20160422,企业web版
基金赎回,2503030.11,20160422,企业web版
现金宝普取,0.01,20160422,企业web版
现金宝普取,0.01,20160422,企业web版
现金宝普取,95231996.61,20160425,企业web版
现金宝普取,400000,20160428,企业web版
现金宝普取,36636894.69,20160503,企业web版
高端申购,7500000,20160503,企业web版
现金宝普取,500000000,20160504,企业web版
现金宝快取,100000,20160504,企业web版
高端申购,10000000,20160504,企业web版
现金宝普取,50000,20160506,企业web版
高端申购,4000000,20160510,企业web版
现金宝普取,360000,20160513,企业web版
现金宝普取,150000,20160516,企业web版
高端申购,3500000,20160516,企业web版
现金宝普取,146000000,20160517,企业web版
高端申购,80000000,20160517,企业web版
现金宝普取,381218.99,20160519,企业web版
现金宝普取,34873.42,20160523,企业web版
高端认购,10000000,20160523,企业web版
现金宝普取,295390.4,20160524,企业web版
现金宝普取,5000000,20160525,企业web版
现金宝普取,20000,20160530,企业web版
现金宝普取,5000000,20160530,企业web版
现金宝普取,156074.23,20160530,企业web版
高端申购,8000000,20160531,企业web版
现金宝快取,4000000,20160531,企业web版
现金宝快取,1000000,20160531,企业web版
现金宝快取,280000,20160531,企业web版
现金宝普取,11.05,20160531,企业web版
现金宝普取,1000000,20160531,企业web版
现金宝快取,6500000,20160411,企业web版
现金宝快取,50000,20160411,企业web版
现金宝快取,200000,20160412,企业web版
高端认购,40000000,20160412,企业web版
高端认购,40000000,20160412,企业web版
高端认购,20000000,20160412,企业web版
现金宝普取,10000000,20160412,企业web版
现金宝快取,500000,20160412,企业web版
现金宝普取,50000,20160412,企业web版
现金宝快取,200000,20160413,企业web版
现金宝普取,200000000,20160413,企业web版
现金宝普取,0.01,20160413,企业web版
基金赎回,45000,20160414,企业web版
高端申购,2000000,20160415,企业web版
高端申购,15000000,20160418,企业web版
高端赎回,22894709.2,20160419,企业web版
现金宝普取,51000,20160419,企业web版
现金宝普取,1968382.28,20160419,企业web版
现金宝普取,400000,20160419,企业web版
高端申购,5000000,20160419,企业web版
现金宝普取,1017997.58,20160420,企业web版
现金宝快取,20000,20160420,企业web版
现金宝普取,51076028.27,20160421,企业web版
现金宝普取,0.01,20160421,企业web版
现金宝普取,0.02,20160421,企业web版
现金宝普取,31447530.05,20160421,企业web版
现金宝普取,10000000,20160421,企业web版
现金宝普取,0.1,20160422,企业web版
现金宝普取,1487076.5,20160422,企业web版
现金宝快取,300000,20160422,企业web版
现金宝普取,500000,20160425,企业web版
高端申购,100000000,20160426,企业web版
现金宝普取,600000,20160426,企业web版
高端申购,3040000,20160426,企业web版
现金宝普取,3500000,20160426,企业web版
高端申购,14000000,20160426,企业web版
现金宝普取,5000000,20160427,企业web版
现金宝快取,2000000,20160428,企业web版
现金宝普取,30000000,20160503,企业web版
现金宝普取,100000,20160504,企业web版
高端认购,60000000,20160504,企业web版
现金宝普取,300000,20160504,企业web版
现金宝普取,295399920.02,20160504,企业web版
现金宝普取,153207416.14,20160504,企业web版
高端申购,10000000,20160504,企业web版
高端申购,40000000,20160504,企业web版
高端申购,9000000,20160504,企业web版
高端申购,10000000,20160504,企业web版
现金宝普取,50000,20160505,企业web版
现金宝快取,500000,20160505,企业web版
现金宝普取,4000000,20160408,企业web版
现金宝普取,8000000,20160408,企业web版
现金宝快取,0.01,20160411,企业web版
现金宝普取,2771176.36,20160411,企业web版
现金宝快取,100000,20160411,企业web版
现金宝快取,90000,20160411,企业web版
现金宝普取,20000000,20160411,企业web版
现金宝普取,10000000,20160411,企业web版
现金宝普取,11027755.96,20160411,企业web版
现金宝普取,50308308.21,20160411,企业web版
现金宝普取,1750000,20160411,企业web版
现金宝普取,100000,20160412,企业web版
现金宝普取,2000000,20160412,企业web版
现金宝普取,2000000,20160413,企业web版
现金宝普取,500000,20160413,企业web版
现金宝普取,349106.29,20160414,企业web版
现金宝普取,710000,20160414,企业web版
现金宝普取,100000,20160414,企业web版
高端认购,100000000,20160415,企业web版
现金宝普取,10.08,20160415,企业web版
现金宝普取,8084898.71,20160418,企业web版
现金宝普取,300000,20160418,企业web版
现金宝普取,200000,20160418,企业web版
现金宝普取,50000,20160418,企业web版
高端申购,10000000,20160419,企业web版
高端申购,15000000,20160419,企业web版
高端申购,2000000,20160419,企业web版
现金宝普取,100000000,20160420,企业web版
现金宝普取,0.01,20160421,企业web版
现金宝普取,1,20160421,企业web版
现金宝普取,1,20160421,企业web版
现金宝普取,1,20160422,企业web版
现金宝普取,3000000,20160425,企业web版
高端申购,6000000,20160426,企业web版
现金宝普取,10.2,20160426,企业web版
高端申购,20000000,20160426,企业web版
现金宝普取,400000,20160427,企业web版
现金宝普取,20323.96,20160427,企业web版
现金宝快取,10000000,20160429,企业web版
现金宝普取,200000,20160503,企业web版
现金宝普取,300000,20160503,企业web版
现金宝快取,300000,20160504,企业web版
现金宝普取,10.06,20160505,企业web版
现金宝普取,12.02,20160408,企业web版
现金宝普取,100000000,20160412,企业web版
现金宝普取,21000000,20160413,企业web版
现金宝普取,23295.46,20160413,企业web版
现金宝普取,20033348.28,20160413,企业web版
现金宝快取,10000,20160414,企业web版
现金宝普取,10000,20160418,企业web版
现金宝普取,10000,20160419,企业web版
高端申购,10000000,20160419,企业web版
高端申购,10000000,20160419,企业web版
现金宝普取,20000,20160419,企业web版
高端申购,50000000,20160419,企业web版
现金宝普取,2,20160420,企业web版
现金宝快取,2000000,20160420,企业web版
现金宝普取,20116877.27,20160420,企业web版
现金宝普取,1200000,20160420,企业web版
现金宝普取,30000,20160421,企业web版
现金宝普取,2000000,20160421,企业web版
现金宝普取,100000,20160421,企业web版
现金宝普取,500000,20160421,企业web版
现金宝普取,5000,20160421,企业web版
现金宝普取,10000,20160421,企业web版
现金宝普取,15.43,20160422,企业web版
现金宝普取,150000,20160422,企业web版
现金宝普取,548.35,20160426,企业web版
高端赎回,2034801.46,20160426,企业web版
现金宝普取,800000,20160428,企业web版
现金宝快取,20000,20160428,企业web版
现金宝快取,100000,20160428,企业web版
现金宝普取,10.04,20160429,企业web版
现金宝普取,1000000,20160503,企业web版
现金宝快取,36000,20160504,企业web版
高端认购,49800000,20160504,企业web版
高端申购,66900000,20160504,企业web版
现金宝普取,1.1,20160505,企业web版
基金赎回,5,20160506,企业web版
现金宝快取,400000,20160506,企业web版
现金宝普取,60000000,20160506,企业web版
现金宝普取,500000,20160510,企业web版
高端申购,3000000,20160510,企业web版
现金宝普取,10.17,20160510,企业web版
现金宝普取,1362000,20160510,企业web版
高端赎回,400000,20160510,企业web版
高端赎回,204983548.45,20160510,企业web版
高端申购,8000000,20160510,企业web版
现金宝普取,10.16,20160511,企业web版
现金宝普取,300000,20160408,企业web版
现金宝快取,100000,20160411,企业web版
现金宝快取,60000,20160411,企业web版
现金宝普取,2200000,20160412,企业web版
现金宝普取,1000000,20160412,企业web版
现金宝普取,10.15,20160412,企业web版
现金宝普取,250000000,20160412,企业web版
高端认购,25000000,20160412,企业web版
高端申购,9000000,20160412,企业web版
现金宝普取,10000000,20160412,企业web版
现金宝普取,15052444.05,20160412,企业web版
现金宝普取,3603955.22,20160412,企业web版
现金宝普取,20000000,20160412,企业web版
现金宝普取,18000000,20160412,企业web版
现金宝普取,30000000,20160412,企业web版
现金宝普取,5000000,20160412,企业web版
现金宝普取,104300000,20160412,企业web版
